type,qual_dens,lat,lon
seagrass,none,59.6395136666667,-151.47376166666666
seagrass,none,59.6394243333333,-151.47357933333336
seagrass,trace,59.63933500000006,-151.473397
seagrass,trace,59.63924566666664,-151.47321466666665
seagrass,trace,59.63915633333332,-151.47303233333332
seagrass,trace,59.638979333333324,-151.47266644444443
seagrass,trace,59.63889166666665,-151.4724828888889
seagrass,trace,59.63880399999999,-151.47229933333332
seagrass,trace,59.63871633333332,-151.47211577777776
seagrass,trace,59.638628666666655,-151.47193222222222
seagrass,trace,59.63854099999996,-151.47174866666666
seagrass,trace,59.63845333333333,-151.4715651111111
seagrass,trace,59.63836566666666,-151.47138155555555
seagrass,trace,59.638184222222165,-151.47100966666665
seagrass,trace,59.638090444444465,-151.47082133333333
seagrass,trace,59.63799666666666,-151.470633
seagrass,trace,59.63790288888888,-151.47044466666665
seagrass,trace,59.63780911111112,-151.47025633333334
seagrass,trace,59.63771533333329,-151.470068
seagrass,trace,59.63762155555554,-151.46987966666666
seagrass,trace,59.63752777777778,-151.46969133333334
seagrass,trace,59.637349888888885,-151.46935955555557
seagrass,trace,59.637265777777756,-151.4692161111111
seagrass,trace,59.637181666666685,-151.4690726666667
seagrass,trace,59.63709755555558,-151.46892922222222
seagrass,trace,59.63701344444446,-151.46878577777778
seagrass,trace,59.63692933333336,-151.46864233333332
seagrass,sparse,59.636845222222234,-151.4684988888889
seagrass,trace,59.63676111111111,-151.46835544444443
seagrass,trace,59.63659900000002,-151.4680521111111
seagrass,sparse,59.63652100000003,-151.46789222222222
seagrass,sparse,59.636442999999986,-151.46773233333332
seagrass,sparse,59.636364999999984,-151.46757244444444
seagrass,sparse,59.636286999999996,-151.46741255555554
seagrass,sparse,59.636209000000015,-151.46725266666667
seagrass,trace,59.63613099999997,-151.46709277777776
seagrass,trace,59.63605300000002,-151.4669328888889
seagrass,sparse,59.63588344444444,-151.4666027777778
seagrass,sparse,59.63579188888888,-151.46643255555554
seagrass,sparse,59.63570033333336,-151.46626233333336
seagrass,sparse,59.63560877777775,-151.4660921111111
seagrass,sparse,59.635517222222205,-151.4659218888889
seagrass,sparse,59.63542566666667,-151.46575166666668
seagrass,sparse,59.63533411111108,-151.46558144444444
seagrass,thin,59.6352425555556,-151.46541122222223
seagrass,thin,59.635071111111046,-151.46505666666667
seagrass,thin,59.63499122222225,-151.46487233333332
seagrass,moderate,59.634911333333335,-151.464688
seagrass,thin,59.63483144444445,-151.46450366666667
seagrass,moderate,59.63475155555557,-151.46431933333332
seagrass,moderate,59.63467166666669,-151.464135
seagrass,moderate,59.63459177777774,-151.46395066666668
seagrass,moderate,59.634511888888895,-151.46376633333333
seagrass,thick,59.63434866666666,-151.463423
seagrass,moderate,59.63426533333337,-151.46326400000004
seagrass,thick,59.63418199999999,-151.463105
seagrass,thick,59.634098666666716,-151.46294600000002
seagrass,thick,59.634015333333345,-151.462787
seagrass,thick,59.63393199999998,-151.462628
seagrass,thick,59.633848666666644,-151.462469
seagrass,moderate,59.63376533333336,-151.46231
seagrass,trace,59.63753000000002,-151.44505
seagrass,none,59.63855900000006,-151.446665
seagrass,moderate,59.63941199999997,-151.448366
seagrass,thick,59.640302999999996,-151.450179
seagrass,thick,59.64109600000001,-151.451693
seagrass,moderate,59.64198799999998,-151.453214
seagrass,sparse,59.64284399999999,-151.454665
seagrass,none,59.643602,-151.456355
seagrass,none,59.64421599999999,-151.457166
seagrass,trace,59.63764433333337,-151.44522944444446
seagrass,trace,59.637758666666635,-151.4454088888889
seagrass,trace,59.63787300000003,-151.44558833333335
seagrass,trace,59.637987333333285,-151.44576777777777
seagrass,trace,59.63810166666669,-151.44594722222223
seagrass,sparse,59.638216,-151.44612666666666
seagrass,trace,59.63833033333328,-151.4463061111111
seagrass,thin,59.63844466666667,-151.44648555555554
